id,name,weight,kcal,protein,lipids,carbs
1449,Tortilla de maíz azul o negro,24,62,1.2,0.6,13.0
1450,Tortilla de maíz blanco,30,67,1.8,0.5,14.2
1451,Tortilla de maíz nixtamalizada,30,53,1.3,0.5,10.2
1452,Tortilla de maíz y soya,33,75,2.2,1.4,13.8
1453,Tortilla de maíz y trigo,32,73,3.2,0.5,14.9
1454,Tortilla integral de harina,25,76,2.1,2.5,11.7
1455,Trigo,21,71,2.2,0.5,15.4
1456,Trigo cocido,21,70,2.2,0.5,15.1
1457,Trigo entero,19,63,2.0,0.5,13.8
1458,Trigo triturado,20,66,2.1,0.5,14.3
1459,Yuca,60,72,0.6,0.4,16.8
1460,Yuquilla,138,73,5.6,0.0,13.2
1461,Agua de coco,360,65,1.1,0.7,16.9
1462,Anona,59,59,1.0,0.4,14.7
1463,Arándano fresco,123,56,0.5,0.2,14.9
1464,Aricóte,90,59,1.1,0.1,15.0
1465,Blueberries,107,61,0.7,0.4,15.4
1466,Breba,192,63,1.0,0.2,16.1
1467,Caimito blanco o morado,130,68,1.7,2.2,12.2
1468,Calabaza melón,98,58,2.8,0.9,11.2
1469,Caña de azúcar,100,64,0.5,0.5,17.2
1470,Capulín,96,63,1.4,0.0,16.1
1471,Carambolo,171,53,1.8,0.6,11.5
1472,Cereza,88,56,0.9,0.2,14.7
1473,Chabacano,126,61,1.8,0.5,14.0
1474,Chagua,150,114,15.8,1.3,14.0
1475,Chicozapote,75,62,0.3,0.8,14.9
1476,Chirimoya,56,53,0.7,0.2,13.4
1477,Ciruela criolla roja o amarilla,158,73,1.1,0.4,18.1
1478,Ciruela pasa deshuesada,56,60,0.5,0.1,15.7
1479,Cocoyol,38,66,2.2,3.3,8.4
1480,Coloc,60,61,1.1,0.3,15.4
1481,Cundeamor,450,32,3.9,0.7,15.9
1482,Dátil seco,17,46,0.3,0.0,12.4
1483,Durazno amarillo,153,60,1.4,0.2,14.6
1484,Durazno prisco,132,51,1.2,0.1,12.5
1485,Frambuesa,123,64,1.5,0.8,14.7
1486,Fresa entera,204,65,1.4,0.6,15.7
1487,Fresa rebanada,166,53,1.1,0.5,12.7
1488,Fruta de la pasión,58,56,1.3,0.4,13.5
1489,Fruta picada,140,59,0.7,0.3,14.7
1490,Fruto del pan,74,60,1.0,0.4,14.9
1491,Gajos de mandarina,105,56,0.9,0.3,14.0
1492,Gajos de naranja,113,53,1.0,0.1,13.3
1493,Gajos de toronja,150,50,0.8,0.2,12.6
1494,Giotilla,130,66,2.3,1.0,13.9
1495,Granada china,67,65,1.5,0.5,15.7
1496,Granada roja,87,44,0.9,0.3,15.5
1497,Guanábana,238,90,1.0,3.8,15.5
1498,Guanábana cimarrona,238,90,1.0,3.8,15.5
1499,Guayaba,124,63,1.0,0.7,14.8
1500,Guayaba rosa,77,52,2.0,0.7,11.0
1501,Higo,72,53,0.6,0.1,13.8
1502,Higo deshidratado,19,47,0.6,0.2,11.9
1503,Jinicuil,50,73,6.0,0.5,13.5
1504,Jugo de limón,180,45,0.7,0.0,15.6
1505,Jugo de mandarina natural,120,46,0.8,0.0,11.3
1506,Jugo de mango,120,61,0.1,0.1,15.7
1507,Jugo de naranja natural,120,54,0.8,0.2,12.5
1508,Jugo de papaya,79,45,0.1,0.1,11.5
1509,Jugo de toronja natural,120,47,0.6,0.1,11.0
1510,Jugo ele mamey,80,52,0.6,0.1,12.5
1511,Kiwi,114,69,1.2,0.6,16.6
1512,Lichis,90,59,0.7,0.3,14.9
1513,Lima,147,44,1.0,0.3,15.5
1514,Limón real,153,31,1.8,0.5,16.4
1515,Mamey,85,58,1.4,0.5,13.7
1516,Manche agrio,122,66,1.3,1.6,13.9
1517,Mandarina,128,68,1.0,0.4,17.0
1518,Mandarina reyna,142,75,1.2,0.4,18.9
1519,Mango ataulfo,62,40,0.3,0.2,10.5
1520,Mango criollo,162,57,1.3,0.0,14.6
1521,Mango en almíbar enlatado,61,56,0.3,0.1,15.0
1522,Mango manila,145,62,1.2,0.0,16.1
1523,Mango petacón,110,72,0.6,0.3,12.9
1524,Mango picado,165,58,1.3,0.0,14.9
1525,Manzana,106,55,0.3,0.2,14.7
1526,Manzana al vapor,86,44,0.2,0.1,11.7
1527,Manzana amarilla,100,65,0.3,0.3,16.5
1528,Manzana cocida,86,44,0.2,0.1,11.7
1529,Manzana deshidratada,23,55,0.2,0.1,15.0
1530,Manzana en almíbar,24,54,0.0,0.0,15.7
1531,Manzana en almíbar enlatada,24,54,0.0,0.0,15.7
1532,Manzana goiden,100,65,0.3,0.3,16.5
1533,Manzana granny,71,42,0.2,0.3,10.8
1534,Manzana picada,75,44,0.2,0.3,11.4
1535,Manzana roja,107,63,0.2,0.4,16.3
1536,Manzana sin cáscara,128,73,0.2,0.4,19.0
1537,Manzana verde,71,42,0.2,0.3,10.8
1538,Manzana Washington,71,42,0.2,0.3,10.8
1539,Maracuyá,53,51,1.2,0.4,12.3
1540,Maracuyá rebanado,69,66,1.5,0.5,16.0
1541,Marañón fresco,171,62,1.5,0.5,14.4
1542,Melón,179,61,1.5,0.3,14.6
1543,Melón cantaloupe,179,61,1.5,0.3,14.6
1544,Melón chino,144,52,0.8,0.2,13.1
1545,Melón picado,160,54,1.3,0.3,13.1
1546,Melón valenciano,179,61,1.5,0.3,14.6
1547,Melón valenciano picado,160,54,1.3,0.3,13.1
1548,Melón verde picado,160,58,0.9,0.2,14.5
1549,Membrillo,98,56,0.4,0.1,15.0
1550,Moras,108,67,2.2,0.6,14.9
1551,Naranja,152,72,1.4,0.2,18.0
1552,Naranja agria,126,73,1.9,0.8,14.9
1553,Naranja cajera,139,69,1.4,1.0,16.4
1554,Naranja china,129,48,2.1,0.4,15.2
1555,Naranja sin semilla,155,72,1.1,0.6,18.3
1556,Naranja valenciana,162,79,1.7,0.5,19.1
1557,Naranjada concentrada,130,57,1.0,0.2,13.2
1558,Nectarina,124,54,1.3,0.4,13.1
1559,Níspero,140,59,0.1,1.2,13.3
1560,Níspero del Japón,108,52,0.4,0.2,13.4
1561,Orejones de chabacano,25,59,0.8,0.1,15.3
1562,Orejones de durazno,26,62,0.9,0.2,15.9
1563,Orejones de manzana,23,55,0.2,0.1,14.8
1564,Orejones de pera,18,47,0.3,0.1,12.5
1565,Papaya hawaiana,114,45,0.7,0.2,11.2
1566,Papaya picada,140,55,0.8,0.1,13.7
1567,Papilla de chabacano con tapioca,98,61,0.3,0.0,16.9
1568,Papilla de ciruela pasa con tapioca,98,68,0.6,0.1,18.2
1569,Papilla de durazno,98,63,0.9,0.3,14.1
1570,Papilla de frutas mixtas,98,59,0.2,0.0,16.0
1571,Papilla de guayaba y papaya con tapioca,98,61,0.2,0.1,16.6
1572,Papilla de mango con tapioca,85,59,0.3,0.2,16.1
1573,Papilla de manzana,85,61,0.3,0.0,16.6
1574,Papilla de manzana y chabacano,130,61,0.3,0.3,16.1
1575,Papilla de pera,98,56,0.3,0.1,13.3
1576,Papilla de pera y pina,130,57,0.4,0.3,14.8
1577,Papilla de plátano y piña con tapioca,98,66,0.2,0.1,17.9
1578,Pasas,20,59,0.5,0.1,15.7
1579,Pasitas,20,59,0.5,0.1,15.7
1580,Pasitas sin semilla,20,60,0.6,0.1,15.8
1581,Pera,81,47,0.3,0.1,12.5
1582,Pera asiática,117,49,0.6,0.3,12.4
1583,Pera bartlett,77,45,0.3,0.1,12.0
1584,Pera d'anjou,81,47,0.3,0.1,12.5
1585,Pera de agua,74,43,0.3,0.1,11.4
1586,Pera de San Juan,105,61,0.4,0.1,16.3
1587,Pera deshidratada,18,46,0.3,0.1,12.2
1588,Pera en almíbar,76,44,0.3,0.1,11.7
1589,Pera mantequilla,70,41,0.3,0.1,10.8
1590,Pera picada,150,63,0.8,0.3,16.0
1591,Pera piña,80,46,0.3,0.1,12.4
1592,Pera rebanada,98,41,0.5,0.2,10.4
1593,Pera roja,81,47,0.3,0.1,12.5
1594,Pera roja rebanada,80,46,0.3,0.1,12.4
1595,Perón,105,65,0.4,0.4,16.7
1596,Perón picado,94,58,0.4,0.4,14.9
1597,Pérsimo,50,64,0.4,0.2,16.8
1598,Pérsimo japonés,84,59,0.5,0.2,15.6
1599,Piña en almíbar,50,42,0.2,0.1,10.8
1600,Piña en almíbar,63,53,0.2,0.1,13.6
1601,Piña picada,124,62,0.7,0.1,16.2
1602,Piña rebanada,84,42,0.5,0.1,11.0
1603,Pitahaya,108,52,1.7,0.6,11.2
1604,Plátano,54,48,0.6,0.2,12.4
1605,Plátano deshidratado,20,69,0.8,0.4,17.7
1606,Plátano dominico,57,54,1.0,0.1,14.0
1607,Plátano machacado,56,50,0.6,0.2,12.8
1608,Plátano macho,49,95,0.5,0.2,11.6
1609,Plátano macho rebanado,51,99,0.5,0.3,12.0
1610,Plátano manzano,49,47,0.5,0.3,11.8
1611,Plátano morado,49,41,0.9,0.1,10.3
1612,Pomarosa,95,60,0.6,0.2,15.6
1613,Pomelo,153,58,0.9,0.2,14.7
1614,Prisco,154,59,0.9,0.2,14.9
1615,Pulpa de fresa,25,44,0.1,0.1,11.9
1616,Pulpa de guanábana,25,45,0.1,0.1,12.3
1617,Pulpa de mamey,75,52,1.3,0.5,12.2
1618,Pulpa de tamarindo,100,57,0.1,0.1,14.7
1619,Pulpa de zapote negro,105,59,0.8,0.1,15.2
1620,Puré de ciruela pasa,41,51,0.5,0.1,13.6
1621,Puré de guayaba,65,49,0.1,0.1,12.0
1622,Puré de Guayaba Gerber 2A Etapa,65,49,0.1,0.1,12.0
1623,Puré de manzana,83,63,0.1,0.1,16.4
1624,Puré de manzana sin azúcar,122,52,0.2,0.1,13.8
1625,Puré de plátano,56,50,0.6,0.2,12.8
1626,Rambután,88,55,0.6,0.3,15.0
1627,Rollo de frutas,21,78,0.0,0.6,18.0
1628,Sandía picada,160,48,1.0,0.2,12.1
1629,Sandía rebanada,200,60,1.3,0.3,15.1
1630,Saramuyo,85,63,1.8,0.8,13.8
1631,Semilla de jinicuil,40,58,4.8,0.4,10.8
1632,Tamarindo,25,60,0.7,0.1,15.6
1633,Tamarindo (pulpa sin azúcar),100,57,0.1,0.1,14.7
1634,Tamarindo pelado,30,72,0.9,0.2,18.8
1635,Tangerina,128,56,0.6,0.3,15.3
1636,Tejocote,60,52,0.5,0.4,13.1
1637,Toronja,162,54,0.9,0.2,13.7
1638,Toronja en gajos,150,50,0.8,0.2,12.6
1639,Tuna,138,56,1.0,0.7,13.2
1640,Tuna cardona,138,56,1.0,0.7,13.2
1641,Tuna picada,150,62,1.1,0.8,14.4
1642,Tuna roja,138,56,1.0,0.7,13.2
1643,Uva,86,61,0.6,0.5,15.3
1644,Uva blanca,87,59,0.6,0.3,15.0
1645,Uva con semilla,86,57,0.5,0.3,14.7
1646,Uva pasa,19,57,0.5,0.1,15.0
1647,Uva roja,86,57,0.5,0.3,14.7
1648,Uva sin semilla,87,55,0.6,0.3,15.0
1649,Uva verde,87,55,0.6,0.3,15.0
1650,Uva verde sin semilla,87,55,0.6,0.3,15.0
1651,Xocoyol,225,56,0.5,0.2,14.9
1652,Zapote,51,68,1.1,0.3,17.1
1653,Zapote amarillo,62,49,0.7,0.3,12.4
1654,Zapote blanco,76,53,1.3,0.5,12.2
1655,Zapote borracho,45,63,0.6,0.4,16.3
1656,Zapote negro,93,52,0.7,0.1,13.5
1657,Zapote negro limpio,115,64,0.9,0.1,16.7
1658,Zarzamora,108,56,0.8,0.6,13.8
1659,Lacteo Fermentado sabor ciruela pasa (bebible),250,211,6,6.8,31.7
1660,Lacteo Fermentado sabor fresa (bebible),250,211,6,6.8,32.0
1661,Lacteo Fermentado sabor manzana (bebible),270,201,10,0.5,39.0
1662,Lacteo fermentado sabor natural (bebible),270,202,11,0.5,38.8
1663,Acti-Regularis sabor Fresa (sólido),200,206,6,6.4,30.9
1664,Acti-Regularis sabor Ciruela Pasa (solido),200,206,6,6.4,30.9
1665,Acti-Regularis sabor Fresa (sólido),200,188,7,6.4,25.5
1666,Chongos zamoranos,108,194,6,3.2,34.6
1667,Helado con leche,90,205,3,14.6,15.5
1668,Helado de café,91,195,3,10.0,25.5
1669,Helado de café bajo en calorías,91,183,5,7.0,27.0
1670,Helado de choco chip,84,215,4,14.0,17.5
1671,Helado de chocolate,99,214,4,11.0,27.9
1672,Helado de chocolate bajo en calorias,99,199,5,7.0,28.7
1673,Helado de fresa,99,190,3,8.3,27.3
1674,Helado de fresa bajo en calorías,123,200,6,5.7,31.2
1675,Helado de vainilla,99,199,3,10.9,23.4
1676,Helado de vainilla bajo en calorías,132,218,6,6.4,34.1
1677,Helado de yogur,158,201,5,5.7,34.2
1678,Helado de yogur de fresa,158,201,5,5.7,34.2
1679,Helado napolitano,102,205,4,11.2,24.1
1680,Helado napolitano bajo en calorías,119,192,6,5.2,31.1
1681,Leche con chocolate,240,200,8,8.2,24.9
1682,Leche con chocolate semidescremada 1%,240,182,7,4.6,29.1
1683,Leche con vainilla,218,207,6,6.6,31.0
1684,Leche descremada con chocolate,300,189,10,3.0,31.3
1685,Leche en polvo sabor fresa,56,187,13,0.0,32.0
1686,Leche fermentada con lactobacilo,250,180,8,4.0,35.8
1687,Leche fermentada con lactobacilo sabor naranja,250,185,7,3.8,40.0
1688,Leche fermentada con lactobacilo sabor natural,250,208,7,4.0,35.8
1689,Leche fermentada con lactobacilo sabor vainilla,233,205,6,3.5,37.3
1690,Leche malteada de chocolate,240,202,8,7.8,26.2
1691,Leche malteada sabor chocolate,180,214,5,4.9,38.1
1692,Leche malteada sabor fresa,182,204,7,5.5,32.4
1693,Leche malteada sabor vainilla,180,202,7,5.5,32.0
1694,Leche semidescremada sabor chocolate,240,182,7,4.6,29.1
1695,Malteada de chocolate,156,198,5,5.8,32.0
1696,Malteada de fresa,180,203,6,5.0,34.0
1697,Malteada de vainilla,130,192,4,8.4,25.4
1698,Queso Petit Suisse,225,203,9,3.4,36.0
1699,Yoghurt Activia de Ciruela Pasa,200,206,6,6.4,30.9
1700,Yoghurt bebible sabor durazno,330,224,8,2.3,40.9
1701,Yoghurt bebible sabor fresa,330,224,8,2.3,40.9
1702,Yoghurt bebible sabor pina colada,330,224,8,2.3,40.9
1703,Yoghurt de café,180,180,8,2.1,32.8
1704,Yoghurt de fruta,180,201,8,3.2,33.9
1705,Yoghurt de vainilla,180,201,8,3.2,33.9
1706,Yoghurt para beber sabor fruta,313,216,6,5.0,37.5
1707,Leche Alpura Light Extra,240,103,8.0,2.4,14.0
1708,Leche de soya,240,79,6.6,4.6,4.3
1709,Leche descremada,245,86,8.4,0.4,11.9
1710,Leche descremada con chocolate,240,77,5.8,1.0,12.5
1711,Leche descremada en polvo,30,109,10.8,0.2,15.6
1712,"Leche descremada en polvo, reducida en Ca",30,107,10.8,0.1,15.8
1713,Leche en polvo descremada,30,109,10.8,0.2,15.6
1714,Leche evaporada descremada,120,94,9.0,0.4,13.5
1715,Leche evaporada semidescremada,120,94,7.5,1.9,11.3
1716,Leche Light Extra,240,103,8.0,2.4,14.0
1717,Vitalinea natural bebible,250,90,7.8,0.0,14.8
1718,Vitalinea natural sólido,150,77,7.4,0.0,11.4
1719,Yoghurt bajo en grasa,75,83,2.7,0.8,16.0
1720,Yoghurt light,180,95,6.4,0.0,15.9
1721,Yoghurt light de fruta,180,95,5.3,0.0,16.9
1722,Yoghurt para beber con fruta bajo en calorías,250,80,5.5,0.0,14.0
1723,Leche,240,148,7.9,8.0,11.2
1724,Leche caliente,240,148,7.9,8.0,11.2
1725,Leche clavel,120,150,7.5,7.5,11.3
1726,Leche cruda,240,146,7.9,7.9,11.3
1727,Leche de burra,237,126,4.7,5.7,14.5
1728,Leche de cabra,240,165,8.6,9.9,10.7
1729,Leche de vaca,240,148,7.9,8.0,11.2
1730,Leche en polvo,32,159,8.4,8.5,12.3
1731,Leche entera,240,148,7.9,8.0,11.2
1732,Leche entera baja en sodio,240,147,7.5,8.3,10.7
1733,Leche entera en polvo,32,159,8.4,8.5,12.3
1734,Leche entera en polvo adicionada,32,159,8.4,8.5,12.3
1735,Leche entera evaporada,120,150,7.5,7.5,11.3
1736,Leche entera ultrapasteurizada,240,134,7.0,7.0,11.3
1737,Leche evaporada,120,150,7.5,7.5,11.3
1738,Leche fría,240,148,7.9,8.0,11.2
1739,Leche hervida,240,163,8.2,9.1,12.5
1740,Leche humana,240,170,2.3,10.8,16.3
1741,Leche Liconsa Te Nutre,32,159,8.4,8.5,12.3
1742,Leche materna,240,170,2.3,10.8,16.3
1743,Leche maternizada en polvo,26,132,3.5,7.0,14.3
1744,Leche omega verde,240,120,7.9,4.6,11.5
1745,Leche pasteurizada,240,146,7.9,7.9,11.3
1746,Leche preparada,240,141,6.5,5.9,8.5
1747,Yoghurt,227,139,7.9,7.4,10.6
1748,Yoghurt natural,227,139,7.9,7.4,10.6
1749,Leche evaporada semidescremada,130,101,8.1,2.0,12.2
1750,Leche semidescremada 1%,244,102,8.0,2.6,11.7
1751,Jocoque,180,113,9.4,2.9,12.6
1752,Jocoque ligero,180,113,9.4,2.9,12.6
1753,Jocoque seco,180,113,9.4,2.9,12.6
1754,Leche fácil digestión,240,109,7.5,3.9,11.2
1755,Leche Lactium MX,240,109,7.2,4.0,11.0
1756,Leche semidescremada,233,116,7.7,4.4,11.2
1757,Leche semidescremada 2%,234,116,7.8,4.5,11.2
1758,Alubia cocida (chica o grande),90,124,8.7,0.3,22.5
1759,Alubia cruda (chica o grande),35,117,8.1,0.3,21.1
1760,Alubia enlatada guisada,86,99,6.3,0.3,18.3
1761,Alubia germinada,380,125,18.2,2.3,17.9
1762,Alverjón o chícharo seco cocido,98,116,8.2,0.4,20.7
1763,Alverjón o chícharo seco crudo,35,119,8.6,0.4,21.1
1764,Chícharo germinado cocido,103,100,7.2,0.5,17.5
1765,Frijol germinado cocido,124,97,8.8,1.0,18.6
1766,Frijol germinado crudo,156,105,9.6,1.1,20.4
1767,Frijol molido,73,96,6.4,0.4,17.2
1768,Frijol promedio cocido,86,114,7.6,0.5,20.4
1769,Frijol promedio crudo,35,119,7.6,0.5,21.8
1770,Frijoles enteros enlatados,128,108,6.7,0.8,18.6
1771,"Frijoles refritos, caseros o enlatados",75,95,4.1,4.1,11.3
1772,Gandul,34,118,6.0,0.6,22.7
1773,Garbanzo cocido,82,135,7.3,2.1,22.5
1774,Garbanzo crudo,35,127,6.8,2.2,21.2
1775,Garbanzo enlatado,79,94,3.9,0.9,17.9
1776,Haba cocida,85,94,6.5,0.3,16.7
1777,Haba cruda,38,128,9.8,0.6,21.9
1778,Harina de frijol,33,110,7.4,0.7,19.4
1779,Harina de garbanzo,33,117,6.6,2.2,18.7
1780,Harina de haba,33,114,9.1,0.6,19.1
1781,Harina de lenteja,33,108,8.1,0.5,18.5
1782,Harina de soya,25,108,9.3,5.1,7.8
1783,Harina de soya baja en grasa,31,114,15.3,2.7,9.4
1784,Harina de soya sin grasa,28,101,14.0,1.8,9.9
1785,Ibes o haba de lima cocido,85,105,5.8,0.3,20.1
1786,Ibes o haba de lima crudo,90,102,6.2,0.8,18.2
1787,Lenteja cocida,99,115,9.0,0.4,20.0
1788,Lenteja cruda,35,124,9.0,0.4,21.0
1789,Miso de soya,69,142,8.2,4.2,19.3
1790,Proteína aislada de soya,15,51,12.1,0.5,1.1
1791,Proteína concentrada de soya,20,66,11.6,0.1,6.2
1792,Soya cocida,57,98,9.4,5.1,5.6
1793,Soya texturizada,35,111,13.5,1.0,13.6
1794,Achiote,4,10,0.5,0.1,2.1
1795,Agua,240,2,0.0,0,0.0
1796,Agua mineral,355,4,0.0,0,0.0
1797,Ajo en polvo,2,5,0.3,0,1.1
1798,Albahaca deshidratada,2,5,0.2,0,0.9
1799,Albahaca molida,2,5,0.2,0,0.9
1800,Alcaparras,17,4,0.4,0.1,0.8
1801,Alcaravea,1,4,0.2,0.2,0.5
1802,Anís,1,4,0.2,0.2,0.5
1803,Arúgula,12,3,0.3,0.1,0.4
1804,Aspartame,1,0,0.0,0,0.0
1805,Azafrán,1,3,0.1,0.1,0.7
1806,Café americano,240,5,0.3,0,0.9
1807,Café con azúcar,240,5,0.3,0,8.2
1808,Café de grano,56,4,11.2,0,0.0
1809,Café descafeinado,240,5,0.3,0,0.9
1810,Café descafeinado preparado,240,5,0.3,0,0.9
1811,Café en polvo,1,4,0.1,0,0.9
1812,Café en polvo descafeinado,2,4,0.2,0,0.7
1813,Café en polvo sabor moka,4,8,0.4,0,1.4
1814,Café express,440,10,0.5,0,1.7
1815,Café instantáneo,2,4,0.2,0,0.7
1816,Café instantáneo preparado,240,5,0.3,0,0.9
1817,"Café instantáneo, descafeinado",2,4,0.2,0,0.8
1818,Café molido,4,1,0.8,0,0.0
1819,Café ó té sin azúcar,240,3,0.0,0,0.5
1820,Café sin azúcar,240,5,0.3,0,0.9
1821,Caldo,120,9,1.4,0.3,0.1
1822,Caldo de carne,120,9,1.4,0.3,0.1
1823,Caldo de carne concentrado,62,8,1.5,0,0.5
1824,Caldo de pescado,120,9,1.4,0.3,0.1
1825,Caldo de pollo,120,9,1.3,0.4,0.4
1826,Caldo de pollo concentrado,50,12,0.8,0.8,0.8
1827,Caldo de pollo enlatado,50,12,0.8,0.8,0.8
1828,Caldo de res,120,9,1.4,0.3,0.1
1829,Caldo de res enlatado,82,10,2.0,0,0.7
1830,Canela,2,5,0.1,0.1,1.6
1831,Canela en polvo,2,5,0.1,0.1,1.6
1832,Canela en raja,2,5,0.1,0.1,1.6
1833,Canela molida,2,5,0.1,0.1,1.6
1834,Cardamomo,2,6,0.2,0.1,1.4
1835,Cardamomo molido,2,6,0.2,0.1,1.4
1836,Cascara de limón,10,5,0.2,0,1.7
1837,Cascara de naranja,4,4,0.1,0,1.0
1838,Cebolla deshidratada,1,4,0.0,0,0.8
1839,Cebolla en polvo,1,4,0.1,0,0.8
1840,Cebollín,15,5,0.5,0,0.5
1841,Cebollín deshidratado,12,0,0.0,0,0.0
1842,Cebollín fresco,15,5,0.5,0,0.5
1843,Cebollín liofilizado,2,5,0.5,0,1.3
1844,Chicle sin azúcar,3,10,0.0,0,2.0
1845,Chile cascabel,3,8,0.3,0.2,1.6
1846,Chile en polvo,1,4,0.2,0.1,0.8
1847,Chile piquín,1,4,0.2,0.1,0.8
1848,Chile piquín molido,2,5,0.2,0.3,0.8
1849,Chocolate para repostería sin azúcar,2,10,0.2,1.1,0.6
1850,Clavo,2,6,0.1,0.4,1.2
1851,Clavo de olor,2,6,0.1,0.4,1.2
1852,Clavo en polvo,2,6,0.1,0.4,1.2
1853,Clavo entero,2,6,0.1,0.4,1.2
1854,Clavo molido,2,6,0.1,0.4,1.2
1855,Clight,4,8,0.0,0,2.0
1856,Coca Cola de dieta,240,1,0.0,0,0.1
1857,Coca Cola Zero,240,1,0.0,0,0.0
1858,Coca light,240,1,0.0,0,0.1
1859,Cocacola de dieta,240,1,0.0,0,0.1
1860,Cocoa en polvo con aspartame,3,9,0.7,0.1,1.6
1861,Cocoa sin azúcar,2,7,0.4,0.2,0.9
1862,Cocoa sin azúcar Hershey,2,7,0.4,0.2,0.9
1863,Comino,2,7,0.4,0.4,0.9
1864,Comino entero,2,7,0.4,0.4,0.9
1865,Comino molido,1,6,0.2,0.2,0.4
1866,Concentrado de pollo,3,6,0.4,0.1,0.7
1867,Consomé,60,10,1.2,0.3,0.2
1868,Consomé de camarón en polvo,4,8,0.6,0.2,1.0
1869,Consomé de pescado,20,6,0.0,0.4,0.2
1870,Consomé de pollo,60,10,1.2,0.3,0.2
1871,Consomé de pollo bajo en grasa,60,5,0.3,0,0.8
1872,Consomé de pollo desgrasado en polvo,12,2,0.0,0.4,0.4
1873,Consomé de pollo en cubo,2,4,0.3,0.1,0.5
1874,Consomé de pollo en polvo,4,8,0.6,0.2.,1.0
1875,Consomé de res,120,9,1.4,0.3,0.1
1876,Consomé de res condensado,60,8,1.3,0.2,0.0
1877,Consomé de res en cubo,2,5,0.3,0.2,0.5
1878,Consomé de res en polvo,12,2,0.0,0.2,0.4
1879,Consomé de res enlatado,60,8,1.3,0.2,0.0
1880,Consomé en polvo,4,8,0.6,0.2,1.0
1881,Consomé sabor tomate,2,6,0.3,0,1.5
1882,Crémor tártaro,3,8,0.0,0,1.8
1883,Cubo consomé,6,12,0.8,0.2,1.4
1884,Curry,2,7,0.3,0.3,1.2
1885,Curry en polvo,2,7,0.3,0.3,1.2
1886,Decaf,2,4,0.2,0,0.7
1887,Diet coke,240,1,0.0,0,0.1
1888,Diet sprite,240,3,0.1,0,0.0
1889,Eneldo,8,3,0.3,0.1,0.5
1890,Eneldo deshidratado,1,3,0.2,0,0.6
1891,Eneldo en semilla,2,6,0.3,0.3,1.1
1892,Especias para sazonar aves,2,6,0.0,0.2,1.3
1893,Estragón,2,6,0.5,0.1,1.0
1894,Estragón molido,2,6,0.5,0.1,1.0
1895,Estragón seco,2,6,0.5,0.1,1.0
1896,Extracto de vainilla,5,8,0.0,0,0.4
1897,Flor de jamaica,1,1,0.0,0,0.2
1898,Gelatina de dieta,60,4,0.6,0,0.4
1899,Gelatina sin azúcar preparada,121,10,1.0,0,0.0
1900,Gengibre,6,4,0.1,0.1,0.9
1901,Gengibre en polvo,3,9,0.2,0.2,1.9
1902,Gengibre fresco,10,7,0.2,0.1,1.5
1903,Grenetina sin sabor,3,9,1.5,0,0.8
1904,Hierbabuena,10,4,0.2,0.2,0.7
1905,Hierbas de olor,2,5,0.1,0.2,1.4
1906,Hierbas finas,2,5,0.1,0.2,1.4
1907,Hierbas molidas,2,5,0.1,0.2-,1.4
1908,Hinojo,10,3,0.1,0,0.7
1909,Hoja de aguacate,3,1,0.1,0,0.1
1910,Hojas de laurel,1,3,0.1,0.1,0.7
1911,Jamaica,1,1,0.0,0,0.2
1912,Jengibre,6,4,0.1,0.1,0.9
1913,Jengibre fresco,6,4,0.1,0.1,0.9
1914,Jengibre molido,2,7,0.2,0.1,1.4
1915,Jengibre rallado,2,1,0.0,0,0.3
1916,Koll-Aid en polvo sin azúcar,1,5,0.0,0,0.0
1917,Laurel,2,6,0.2,0.2,1.4
1918,Laurel fresco,2,6,0.2,0.2,1.4
1919,Laurel troceado,2,6,0.2,0.2,1.4
1920,Levadura comprimida,9,9,0.7,0.2,1.6
1921,Levadura en polvo,2,5,0.7,0.1,0.7
1922,Levadura fresca,2,5,0.9,0,0.9
1923,Levadura seca,4,11,1.4,0.2,1.4
1924,Limón,34,10,0.3,0.1,3.6
1925,Limón agrio,9,2,0.1,0,0.9
1926,Limón sin semilla,11,2,0.1,0,1.2
1927,Manzanilla fresca,10,4,0.2,0.2,0.7
1928,Manzanilla seca,2,0,0.0,0,0.0
1929,Mejorana,1,3,0.1,0.1,0.6
1930,Menta,1,5,0.0,0,0.5
1931,Menta fresca,1,1,0.1,0,0.2
1932,Menta molida,2,6,0.2,0.2,1.2
1933,Monster Lo-Carb Energía,158,7,0.0,0,2.0
1934,Mostaza,5,5,0.3,0.3,0.3
1935,Mostaza Dijón,5,5,0.3,0.3,0.3
1936,Mostaza en polvo,3,9,0.5,0.6,0.3
1937,Nuez moscada,2,10,0.1,0.7,1.0
1938,Nuez moscada molida,2,10,0.1,0.7,1.0
1939,Nutra sweet,1,0,0.0,0,0.0
1940,Orange crush diet,178,10,0.0,0,2.5
1941,Orégano,2,6,0.2,0.2,1.3
1942,Orégano molido,2,5,0.2,0.2,1.0
1943,Orégano troceado,2,6,0.2,0.2,1.3
1944,Paprika,2,6,0.3,0.3,1.1
1945,Pepsi de dieta,355,4,0.0,0,0.0
1946,Pepsi Max,355,4,0.0,0,0.0
1947,Perejil deshidratado,3,9,0.6,0,1.5
1948,Pimentón,2,6,0.3,0.3,1.1
1949,Pimienta,2,5,0.2,0.1,1.3
1950,Pimienta blanca,2,6,0.2,0,1.4
